Pope Number,Papal Name,Birthday,Birthday2,Conclave Start,Elected Date,Elected Date2,Age at Election,Installed Date,Age at Installation,End of Reign Date,End of Reign Age,Elected Length,Installed Length,Actual Name,Length,Century,Birth Place,Country,Latitude,Longitude
226,Gregory XIII,7 Jan 1502,7 Jan 1502,12 May 1572,13 May 1572,13 May 1572,70.3,25 May 1572,70.3,10 Apr 1585,83.2,12.9,12.8,Ugo Boncompagni , (13 May 1572 Elected - 10 Apr 1585 Died),16, Bologna                         , Italy             ,44.494887,11.3426163
227,Sixtus V,13 Dec 1521,13 Dec 1521,21 Apr 1585,24 Apr 1585,24 Apr 1585,63.3,1 May 1585,63.3,27 Aug 1590,68.7,5.3,5.3,"Felice Peretti Montalto, O.F.M. Conv. ", (24 Apr 1585 Elected - 27 Aug 1590 Died),16," Grottammare, Marche             ", Italy             ,42.9855911,13.868349
228,Urban VII,4 Aug 1521,4 Aug 1521,7 Sep 1590,15 Sep 1590,15 Sep 1590,69.1,,,27 Sep 1590,69.1,0,,Giovanni Battista Castagna , (15 Sep 1590 Elected - 27 Sep 1590 Died),16, Rome                            , Italy             ,41.8967068,12.4822025
229,Gregory XIV,11 Feb 1535,11 Feb 1535,8 Oct 1590,5 Dec 1590,5 Dec 1590,55.8,8 Dec 1590,55.8,16 Oct 1591,56.6,0.8,0.8,Niccolò Sfondrati , (5 Dec 1590 Elected - 16 Oct 1591 Died),16," Somma Lombardo, Lombardy        ", Italy             ,45.682787,8.7104888
230,Innocent IX,20 Jul 1519,20 Jul 1519,27 Oct 1591,29 Oct 1591,29 Oct 1591,72.2,3 Nov 1591,72.2,30 Dec 1591,72.4,0.1,0.1,Giovanni Antonio Facchinetti de Nuce , (29 Oct 1591 Elected - 30 Dec 1591 Died),16, Bologna                         , Italy             ,44.494887,11.3426163
231,Clement VIII,24 Feb 1536,24 Feb 1536,10 Jan 1592,30 Jan 1592,30 Jan 1592,55.9,9 Feb 1592,55.9,3 Mar 1605,69,13,13,Ippolito Aldobrandini (Sr.) , (30 Jan 1592 Elected - 3 Mar 1605 Died),16," Fano, Marche                    ", Italy             ,43.8424875,13.0136891
232,Leo XI,2 Jun 1535,2 Jun 1535,14 Mar 1605,1 Apr 1605,1 Apr 1605,69.8,10 Apr 1605,69.8,27 Apr 1605,69.9,0,0,Alessandro Ottaviano de’ Medici , (1 Apr 1605 Elected - 27 Apr 1605 Died),17, Florence                        , Italy             ,43.7699685,11.2576706
233,Paul V,17 Sep 1552,17 Sep 1552,8 May 1605,16 May 1605,16 May 1605,52.6,29 May 1605,52.6,28 Jan 1621,68.3,15.6,15.6,Camillo Borghese , (16 May 1605 Elected - 28 Jan 1621 Died),17, Rome                            , Italy             ,41.8967068,12.4822025
234,Gregory XV,9 Jan 1554,9 Jan 1554,8 Feb 1621,9 Feb 1621,9 Feb 1621,67,14 Feb 1621,67,8 Jul 1623,69.4,2.4,2.4,Alessandro Ludovisi , (9 Feb 1621 Elected - 8 Jul 1623 Died),17, Bologna                         , Italy             ,44.494887,11.3426163
235,Urban VIII,5 Apr 1568,5 Apr 1568,19 Jul 1623,6 Aug 1623,6 Aug 1623,55.3,29 Sep 1623,55.4,29 Jul 1644,76.3,20.9,20.8,Maffeo Barberini , (6 Aug 1623 Elected - 29 Jul 1644 Died),17, Florence                        , Italy             ,43.7699685,11.2576706
236,Innocent X,6 May 1574,6 May 1574,9 Aug 1644,15 Sep 1644,15 Sep 1644,70.3,4 Oct 1644,70.4,7 Jan 1655,80.6,10.3,10.2,Giovanni Battista Pamphilj , (15 Sep 1644 Elected - 7 Jan 1655 Died),17, Rome                            , Italy             ,41.8967068,12.4822025
237,Alexander VII,13 Feb 1599,13 Feb 1599,18 Jan 1655,7 Apr 1655,7 Apr 1655,56.1,18 Apr 1655,56.1,22 May 1667,68.2,12.1,12,Fabio Chigi , (7 Apr 1655 Elected - 22 May 1667 Died),17," Siena, Tuscany                  ", Italy             ,43.3184741,11.3305812
238,Clement IX,28 Jan 1600,28 Jan 1600,2 Jun 1667,20 Jun 1667,20 Jun 1667,67.3,26 Jun 1667,67.4,9 Dec 1669,69.8,2.4,2.4,Giulio Rospigliosi , (20 Jun 1667 Elected - 9 Dec 1669 Died),17," Pistoia, Tuscany                ", Italy             ,43.9298397,10.906814
239,Clement X,13 Jul 1590,13 Jul 1590,20 Dec 1669,29 Apr 1670,29 Apr 1670,79.7,11 May 1670,79.8,22 Jul 1676,86,6.2,6.1,Emilio Bonaventura Altieri , (29 Apr 1670 Elected - 22 Jul 1676 Died),17, Rome                            , Italy             ,41.8967068,12.4822025
240,Innocent XI,19 May 1611,19 May 1611,2 Aug 1676,21 Sep 1676,21 Sep 1676,65.3,4 Oct 1676,65.3,12 Aug 1689,78.2,12.8,12.8,Bl. Benedetto Odescalchi , (21 Sep 1676 Elected - 12 Aug 1689 Died),17," Como, Lombardy  ", Italy             ,45.8063817,9.0851867
241,Alexander VIII,22 Apr 1610,22 Apr 1610,23 Aug 1689,6 Oct 1689,6 Oct 1689,79.4,16 Oct 1689,79.4,1 Feb 1691,80.7,1.3,1.2,Pietro Vito Ottoboni , (6 Oct 1689 Elected - 1 Feb 1691 Died),17, Venice                          , Italy             ,45.440379,12.3159547
242,Innocent XII,13 Mar 1615,13 Mar 1615,12 Feb 1691,12 Jul 1691,12 Jul 1691,76.3,15 Jul 1691,76.3,27 Sep 1700,85.5,9.2,9.1,Antonio Pignatelli del Rastrello , (12 Jul 1691 Elected - 27 Sep 1700 Died),17," Spinazzola, Apulia              ", Italy             ,40.9684843,16.0895899
243,Clement XI,23 Jul 1649,23 Jul 1649,9 Oct 1700,23 Nov 1700,23 Nov 1700,51.3,8 Dec 1700,51.3,19 Mar 1721,71.6,20.3,20.2,Giovanni Francesco Albani , (23 Nov 1700 Elected - 19 Mar 1721 Died),18," Urbino, Marche                  ", Italy             ,43.726375,12.6362563
244,Innocent XIII,13 May 1655,13 May 1655,31 Mar 1721,8 May 1721,8 May 1721,65.9,18 May 1721,66,7 Mar 1724,68.8,2.8,2.8,Michelangelo dei Conti , (8 May 1721 Elected - 7 Mar 1724 Died),18," Gravina in Puglia, Apulia       ", Italy             ,40.8171205,16.4184341
245,Benedict XIII,2 Feb 1649,2 Feb 1649,20 Mar 1724,29 May 1724,29 May 1724,75.3,4 Jun 1724,75.3,21 Feb 1730,81,5.7,5.7,"Pietro Francesco (Vincenzo Maria) Orsini de Gravina, O.P. ", (29 May 1724 Elected - 21 Feb 1730 Died),18,Poli, Italy             ,41.8874392,12.895205
246,Clement XII,7 Apr 1652,7 Apr 1652,5 Mar 1730,12 Jul 1730,12 Jul 1730,78.2,16 Jul 1730,78.2,6 Feb 1740,87.8,9.5,9.5,Lorenzo Corsini , (12 Jul 1730 Elected - 6 Feb 1740 Died),18, Florence                        , Italy             ,43.7699685,11.2576706
247,Benedict XIV,31 Mar 1675,31 Mar 1675,18 Feb 1740,17 Aug 1740,17 Aug 1740,65.3,22 Aug 1740,65.3,3 May 1758,83,17.7,17.6,Prospero Lorenzo Lambertini , (17 Aug 1740 Elected - 3 May 1758 Died),18, Bologna                         , Italy             ,44.494887,11.3426163
248,Clement XIII,7 Mar 1693,7 Mar 1693,15 May 1758,6 Jul 1758,6 Jul 1758,65.3,16 Jul 1758,65.3,2 Feb 1769,75.9,10.5,10.5,Carlo della Torre Rezzonico , (6 Jul 1758 Elected - 2 Feb 1769 Died),18, Venice                          , Italy             ,45.440379,12.3159547
249,Clement XIV,31 Oct 1705,31 Oct 1705,15 Feb 1769,19 May 1769,19 May 1769,63.5,4 Jun 1769,63.5,22 Sep 1774,68.8,5.3,5.2,"Lorenzo (Giovanni Vincenzo Antonio) Ganganelli, O.F.M. Conv. ", (19 May 1769 Elected - 22 Sep 1774 Died),18," Santarcangelo di Romagna, Emilia-Romagna ", Italy             ,44.0637152,12.4525304
250,Pius VI,25 Dec 1717,25 Dec 1717,5 Oct 1774,15 Feb 1775,15 Feb 1775,57.1,22 Feb 1775,57.1,29 Aug 1799,81.6,24.5,24.5,Giovanni Angelico Braschi , (15 Feb 1775 Elected - 29 Aug 1799 Died),18," Cesena, Emilia-Romagna          ", Italy             ,44.1396438,12.2464292
251,Pius VII,14 Aug 1742,14 Aug 1742,1 Dec 1799,14 Mar 1800,14 Mar 1800,57.5,21 Mar 1800,57.6,20 Aug 1823,81,23.4,23.4,"Barnaba (Gregorio) Chiaramonti, O.S.B. ", (14 Mar 1800 Elected - 20 Aug 1823 Died),19," Cesena, Emilia-Romagna          ", Italy             ,44.1396438,12.2464292
252,Leo XII,2 Aug 1760,2 Aug 1760,2 Sep 1823,28 Sep 1823,28 Sep 1823,63.1,5 Oct 1823,63.1,10 Feb 1829,68.5,5.3,5.3,Annibale Francesco Clemente Melchiore Girolamo Nicola della Genga , (28 Sep 1823 Elected - 10 Feb 1829 Died),19," Genga, Marche                   ", Italy             ,43.430241,12.935313
253,Pius VIII,20 Nov 1761,20 Nov 1761,24 Feb 1829,31 Mar 1829,31 Mar 1829,67.3,5 Apr 1829,67.3,30 Nov 1830,69,1.6,1.6,Francesco Saverio Maria Felice Castiglioni , (31 Mar 1829 Elected - 30 Nov 1830 Died),19," Cingoli, Marche                 ", Italy             ,43.3770187,13.2134522
254,Gregory XVI,18 Sep 1765,18 Sep 1765,14 Dec 1830,2 Feb 1831,2 Feb 1831,65.3,6 Feb 1831,65.3,1 Jun 1846,80.7,15.3,15.3,"Bartolomeo Alberto (Mauro) Cappellari, O.S.B. ", (2 Feb 1831 Elected - 1 Jun 1846 Died),19," Belluno, Veneto                 ", Italy             ,46.1416375,12.2148261
255,Pius IX,13 May 1792,13 May 1792,14 Jun 1846,16 Jun 1846,16 Jun 1846,54,21 Jun 1846,54.1,7 Feb 1878,85.7,31.6,31.6,Bl. Giovanni Maria Mastai-Ferretti , (16 Jun 1846 Elected - 7 Feb 1878 Died),19," Senigallia, Marche              ", Italy             ,43.7197926,13.2152224
256,Leo XIII,2 Mar 1810,2 Mar 1810,18 Feb 1878,20 Feb 1878,20 Feb 1878,67.9,3 Mar 1878,68,20 Jul 1903,93.3,25.4,25.3,Vincenzo Gioacchino Raffaele Luigi Pecci , (20 Feb 1878 Elected - 20 Jul 1903 Died),19," Carpineto Romano, Lazio         ", Italy             ,41.6046918,13.0853108
257,Pius X,2 Jun 1835,2 Jun 1835,1308,4 Aug 1903,4 Aug 1903,68.1,9 Aug 1903,68.1,20 Aug 1914,79.2,11,11,St. Giuseppe Melchiorre Sarto , (4 Aug 1903 Elected - 20 Aug 1914 Died),20," Riese, Veneto                   ", Italy             ,45.7289954,11.9145706
258,Benedict XV,21 Nov 1854,21 Nov 1854,5357,3 Sep 1914,3 Sep 1914,59.7,6 Sep 1914,59.7,22 Jan 1922,67.1,7.3,7.3,Giacomo Giambattista della Chiesa , (3 Sep 1914 Elected - 22 Jan 1922 Died),20,Pegli, Italy             ,44.4285278,8.8114707
259,Pius XI,31 May 1857,31 May 1857,8069,6 Feb 1922,6 Feb 1922,64.6,12 Feb 1922,64.6,10 Feb 1939,81.6,17,16.9,Ambrogio Damiano Achille Ratti , (6 Feb 1922 Elected - 10 Feb 1939 Died),20," Desio, Lombardy                 ", Italy             ,45.6172669,9.2072379
260,Pius XII,2 Mar 1876,2 Mar 1876,14305,2 Mar 1939,2 Mar 1939,63,12 Mar 1939,63,9 Oct 1958,82.6,19.6,19.5,Eugenio Maria Giuseppe Giovanni Pacelli , (2 Mar 1939 Elected - 9 Oct 1958 Died),20, Rome                            , Italy             ,41.8967068,12.4822025
261,John XXIII,25 Nov 1881,25 Nov 1881,21483,28 Oct 1958,28 Oct 1958,76.9,4 Nov 1958,76.9,3 Jun 1963,81.5,4.5,4.5,St. Angelo Giuseppe Roncalli , (28 Oct 1958 Elected - 3 Jun 1963 Died),20," Sotto il Monte, Bergamo         ", Italy             ,45.7052301,9.4984371
262,Paul VI,26 Sep 1897,26 Sep 1897,23181,21 Jun 1963,21 Jun 1963,65.7,30 Jun 1963,65.7,6 Aug 1978,80.8,15.1,15.1,St. Giovanni Battista Enrico Antonio Maria Montini , (21 Jun 1963 Elected - 6 Aug 1978 Died),20," Concesio, Brescia               ", Italy             ,45.5998855,10.2227274
263,John Paul I,17 Oct 1912,17 Oct 1912,28727,26 Aug 1978,26 Aug 1978,65.8,3 Sep 1978,65.8,28 Sep 1978,65.9,0,0,Bl. Albino Luciani , (26 Aug 1978 Elected - 28 Sep 1978 Died),20," Canale d'Agordo, Veneto         ", Italy             ,46.3591233,11.914404
264,John Paul II,18 May 1920,18 May 1920,28777,16 Oct 1978,16 Oct 1978,58.4,22 Oct 1978,58.4,2 Apr 2005,84.8,26.4,26.4,St. Karol Józef Wojtyła , (16 Oct 1978 Elected - 2 Apr 2005 Died),20, Wadowice                        , Poland            ,49.8827856,19.4939579
265,Benedict XVI,16 Apr 1927,16 Apr 1927,38460,19 Apr 2005,19 Apr 2005,78,24 Apr 2005,78,28 Feb 2013,85.8,7.8,7.8,Joseph Ratzinger , (19 Apr 2005 Elected - 28 Feb 2013 Resigned),21," Marktl, Bavaria                 ", Germany           ,48.2533604,12.8437583
266,Francis,17 Dec 1936,17 Dec 1936,41345,13 Mar 2013,13 Mar 2013,76.2,19 Mar 2013,76.2,21 Apr 2025,88.4,11.99,11.98,"Jorge Mario Bergoglio, S.J. ",(13 Mar 2013 Elected - 21 Apr 2025),21, Buenos Aires                    , Argentina         ,-34.6036739,-58.3821215
267,Leo XIV,14/09/1955,14/09/1955,45784,45785,08/05/2025,69.6,18-May-25,69.6,,,,,"Robert Francis Prevost, O.S.A",(8 May 2025 Elected - Present),21," Chicago, Illinois               ", United States     ,41.8781136,-87.6297982
